job_id,category,title,company,location,experience,salary,skills,description,jdURL
031024502094,PHP Developer,PHP Developer,Intellinez Systems,Chandigarh,1-2 Yrs,Not disclosed,"Application support,Front end,GIT,Consulting,MySQL,Healthcare,Wellness,Web designing","View All Jobs    Apply Now      Job Role    PHP Developer    Job Location Mohali, Punjab Job Experience 1-2 years Qualification B.Tech | MCA Salary Negotiable | Best in Industry      About The Company       Intellinez Systems is an end-to-end software product development company providing cutting-edge custom product development and management solutions to its global clients leveraging modern technologies and cloud platforms. Our clients are in the USA, UK, and India and we serve multiple industries like healthcare, construction, education, and retail. Today we provide complete application development and management services to one of USA s leading healthcare recruitment brands which is responsible for 1/3rd of physician recruitment in the country.        We specialize in         Custom Application Development     SEO Content Marketing     SAAS Application Development     System Integrations Consulting     Software Consultation Implementation     Application Support Services     Managed Cloud Hosting     Mobile Application Development     Web Design Development     UI/UX Prototyping       Our corporate office is located at Mohali, India and we also have offices located at Bangalore, India       Job Summary:       We are looking for a talented and motivated PHP Developer with 1-2 years of experience to join our dynamic team. The ideal candidate should have hands-on experience in PHP frameworks such as CodeIgniter (CI3/4), WordPress customization, and basic front-end development skills. A strong understanding of OOP concepts and basic knowledge of Laravel, React, or Angular is preferred.       Key Responsibilities:         Develop and maintain web applications using Core PHP and CodeIgniter (CI3/4)     Customize WordPress themes and plugins to meet specific project requirements.     Collaborate with front-end developers and integrate user-facing elements with server-side logic.     Implement OOP (Object-Oriented Programming) principles to ensure clean and scalable code.     Work with HTML/CSS to design responsive web layouts.     Use jQuery for dynamic content and interactivity on web pages.     Gain exposure to Laravel and provide support for basic tasks within the framework.     Understand and apply basic knowledge of React or Angular for front-end integration when needed.         Skills and Qualifications:         1-2 years of experience in PHP development.     Proficiency in Core PHP and CodeIgniter (CI3/4).     Experience with customizing WordPress plugins and themes.     Strong understanding of OOP concepts.     Familiarity with jQuery, HTML, and CSS for front-end development.     Basic knowledge of React/Angular for front-end tasks.     Exposure to Laravel is a plus.     Strong problem-solving skills and attention to detail.     Good communication and teamwork abilities.         Preferred Qualifications:         Understanding of version control systems like Git.     Knowledge of MYSQL or other database systems.     Experience working in an Agile development environment is a plus.         Our Pro Employee Policies         Annual Bonus     Company sponsored trainings and certifications     Extensive medical insurance coverage.     Company sponsored wellness programs access to gym and swimming facilities.     Periodic Rewards Recognition         Why Join Intellinez Systems         Exceptional Employee Benefits.     People-Centric Work Culture     Global Exposure     Learning Opportunities     Exceptional Career Growth     Regular Rewards Recognition     Extensive Wellness Programs         How to Apply:       Interested candidates are invited to submit a resume and a cover letter outlining their qualifications and experiences, detailing how they align with the requirements of the role. Please send your application to    [email protected]         Know More   :       Know more about us      Explore our work culture      Work Benefits      Checkout our videos      Checkout our LinkedIn Page                      Developer:        Full Time",https://www.naukri.com/job-listings-php-developer-intellinez-systems-private-limited-chandigarh-1-to-2-years-031024502094
121224905297,PHP Developer,PHP Developer,TYD Ideas,Mumbai,3-5 Yrs,Not disclosed,"PHP,jQuery,Agile Management System,Confluence,HTML5,JavaScript,MySQL,MongoDB","Past experience working with clients to sell ideas, capture requirements and lead them through complex processes.   Experience working with creatives and concepting projects.   Experience in the practical application of a range of software development methodologies.   Excellent PHP5, MVC, OO Experience, LAMP, HTML5, Javascript, XML and SASS experience   Excellent MVC web applications experience   Strong Enterprise Architecture experience   A thorough, broad, innovative knowledge and understanding of the internet and emerging technologies and standards. Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms   Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team   Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications   Prepare and maintain all applications utilizing standard development tools   Utilize backend data services and contribute to increase existing data services API   Lead the entire web application development life cycle right from concept stage to delivery and post launch support   Refactor, optimize and improve the existing codebase for maintenance and scale   Use test driven development and acceptance tests to ensure feature quality   Interface with customer and internal teams to gather requirements and develop software solutions   Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues   Document the development process, architecture, and standard components   Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as liaison between development staff and project manager   Keep abreast of new trends and best practices in web development   Experience in Linux Server environment   Experience of Agile Management System e.g. Jira & Confluence   Attention to detail and able to work to deadlines.   Confidence to present ideas to both colleagues and clients.   Ability to work on several projects at one time and manage workflow.   Work as part of a team but also unrepentantly.   Documenting functional and non-functional technical requirements.     Keep up-to-date with latest trends, innovations, cultures and new technical developments/changes within the industry.  PHP Developer requirements and qualifications    Previous working experience as a PHP Developer for 1 year   BS/MS in Computer Science, Engineering or a similar relevant field   User authentication and authorization between multiple systems, servers, and environments   Integration of multiple data sources and databases into one system   Familiarity with limitations of PHP as a platform and its workarounds   Proficient in PHP, HTML5, JavaScript, JQuery Expert   Experience with PHP MVC frameworks (Symfony, Kohana, CodeIgniter, Phalcon Zend, etc.)   Extensive experience with Search Engine Optimization (SEO).   Hands on Angular, couchDB and/or MongoDB   Excellent relational database skills with MySQL   Experience with building restful JSON web services   Knowledge of API's, such as twitter, Facebook, Google maps, Instagram, etc.   Understanding of responsive design frameworks such as bootstrap",https://www.naukri.com/job-listings-php-developer-tydideas-mumbai-3-to-5-years-121224905297
290623500372,PHP Developer,PHP Developer,Mobisoft Infotech,Pune,4-5 Yrs,Not disclosed,"Drupal,jQuery,Linux,Wordpress,Javascript,PHP,Windows,Joomla","Developing, deploying and maintaining PHP based web applications.                                                                                                         Create solutions for the backend systems to support millions of users.                                                                                                                                   Estimate the work efforts at varied levels and entail in design evaluation, determining the architectures, lay-out and style controls.                                                                                                                                                           Deploy the web applications on various types of production environment (Linux, Windows servers etc).                                                                                                                                                                                   Work in coordination with frontend developers in designing architecture and implement designing strategy                                                                                                                                                                                                Collaborate with people in other disciplines for the production and delivery of project deliverable.                Requirements                              Experience and Skills required:        Must have 3+ years of experience in developing web application using PHP technologies.                    Must have experience in framework- Laravel.Strong knowledge and experience in javascript and jQuery.                            Expert knowledge of SQL and database technologies.Sound                      Knowledge of web deployment concepts, web services such as REST and SOAP APIs.                                    Possess experience in developing social and location aware applications, which are scalable.                                            Prior experience in other technologies and frameworks such as Wordpress, Drupal, Magento, Joomla etc is an added advantage.        One should be willing to work in Java or Golang also after provided training.",https://www.naukri.com/job-listings-php-developer-mobisap-infotech-pune-4-to-5-years-290623500372
291124919416,PHP Developer,PHP Developer,TYD Ideas,"Mumbai, Bandra Kurla Complex",3-8 Yrs,Not disclosed,"PHP,CSS,HTML,Jquery,Phalcon,Zend,Angular,SQL","Past experience working with clients to sell ideas, capture requirements and lead them through complex processes. Experience working with creatives and concepting projects. Experience in the practical application of a range of software development methodologies. Excellent PHP5, MVC, OO Experience, LAMP, HTML5, Javascript, XML and SASS experience Excellent MVC web applications experience Strong Enterprise Architecture experience A thorough, broad, innovative knowledge and understanding of the internet and emerging technologies and standards. Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications Prepare and maintain all applications utilizing standard development tools Utilize backend data services and contribute to increase existing data services API Lead the entire web application development life cycle right from concept stage to delivery and post launch support Refactor, optimize and improve the existing codebase for maintenance and scale Use test driven development and acceptance tests to ensure feature quality Interface with customer and internal teams to gather requirements and develop software solutions Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues Document the development process, architecture, and standard components Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as liaison between development staff and project manager Keep abreast of new trends and best practices in web development Experience in Linux Server environment Experience of Agile Management System e.g. Jira & Confluence Attention to detail and able to work to deadlines. Confidence to present ideas to both colleagues and clients. Ability to work on several projects at one time and manage workflow. Work as part of a team but also unrepentantly. Documenting functional and non-functional technical requirements.  Keep up-to-date with latest trends, innovations, cultures and new technical developments/changes within the industry.  PHP Developer requirements and qualifications  Previous working experience as a PHP Developer for 1 year BS/MS in Computer Science, Engineering or a similar relevant field User authentication and authorization between multiple systems, servers, and environments Integration of multiple data sources and databases into one system Familiarity with limitations of PHP as a platform and its workarounds Proficient in PHP, HTML5, JavaScript, JQuery Expert Experience with PHP MVC frameworks (Symfony, Kohana, CodeIgniter, Phalcon Zend, etc.) Extensive experience with Search Engine Optimization (SEO). Hands on Angular, couchDB and/or MongoDB Excellent relational database skills with MySQL Experience with building restful JSON web services Knowledge of API's, such as twitter, Facebook, Google maps, Instagram, etc. Understanding of responsive design frameworks such as bootstrap  Skills : -  PHP(Phalcon), HTML-CSS, Bootstrap, Javascript(Jquery), Problem (Bug) Solving, SQL,PHP, HTML5, PHP MVC frameworks,Symfony, Kohana, CodeIgniter, Phalcon, Zend,Angular, couchDB and/or MongoDB",https://www.naukri.com/job-listings-php-developer-tydideas-mumbai-bandra-kurla-complex-3-to-8-years-291124919416
061224913777,Application Developer,Application Developer,Accenture,Chennai,7-11 Yrs,Not disclosed,"sap,development methodologies,sql server,application development,sap plant maintenance,c++,oracle,sql","Project Role : Application Developer    Project Role Description : Design, build and configure applications to meet business process and application requirements.   Must have skills : SAP Plant Maintenance (PM)   Good to have skills : Accenture Delivery Methods (ADM) Minimum  7.5  year(s) of experience is required   Educational Qualification : 15 YEARS FULL TIME  Summary :As an Application Developer for Packaged Application Development, you will be responsible for designing, building, and configuring applications to meet business process and application requirements using SAP Plant Maintenance (PM). Your typical day will involve collaborating with cross-functional teams, analyzing business requirements, and developing solutions to meet those requirements.  Roles & Responsibilities: Design, build, and configure applications to meet business process and application requirements using SAP Plant Maintenance (PM).  Collaborate with cross-functional teams to analyze business requirements and develop solutions to meet those requirements.  Develop and maintain technical documentation related to application development.  Provide technical support and troubleshooting for applications developed. Professional & Technical Skills:  Must To Have Skills:Experience in SAP Plant Maintenance (PM).  Good To Have Skills:Experience with Accenture Delivery Methods (ADM).  Strong understanding of application development methodologies and tools.  Experience with software development life cycle (SDLC) processes.  Experience with programming languages such as ABAP, Java, or C++.  Experience with database technologies such as Oracle or SQL Server. Additional Information:  The candidate should have a minimum of 7.5 years of experience in SAP Plant Maintenance (PM).  The ideal candidate will possess a strong educational background in computer science or a related field, along with a proven track record of delivering impactful solutions.  This position is based at our Chennai office. Qualification 15 YEARS FULL TIME",https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-chennai-7-to-11-years-061224913777
101224915218,Application Developer,Application Developer,Accenture,Hyderabad,3-7 Yrs,Not disclosed,"java,postgresql,j2ee,software engineering,sql plsql,oracle,jsp,jdbc","Project Role : Application Developer    Project Role Description : Design, build and configure applications to meet business process and application requirements.   Must have skills : Java Enterprise Edition   Good to have skills : NA   Educational Qualification : Technical graduate with relevant experience Project Role :Application Developer  Project Role Description :Design, build and configure applications to meet business process and application requirements. Must have Skills :Java Enterprise EditionGood to Have Skills : Job Requirements :Key Responsibilities :Design, build, and configure applications to meet business process and application requirements.Collaborate with cross-functional teams to identify and prioritize application requirements.Develop and maintain technical documentation related to application development.Monitoring and maintaining application.Troubleshoot and debug application issues, providing timely resolution to minimize downtime and ensure optimal performance Technical Experience :Proficiency in Java SE1.8 and SQL PLSQL. UNIX Shell Scripting, Linux. Solid understanding of software engineering principles and best practices. Experience with application development tools such as Eclipse. Experience with web application frameworks such as Spring. Experience with database technologies such as Oracle, PostgreSQL. Professional Attributes :The candidate should have a minimum of 3 years of experience in Java SE.The ideal candidate will possess a strong educational background in computer science or a related field, along with a proven track record of delivering impactful software solutions Educational Qualification:Technical graduate with relevant experience Additional Information :   Qualification   Technical graduate with relevant experience",https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-hyderabad-3-to-7-years-101224915218
101224915759,Application Developer,Application Developer,Accenture,Bengaluru,3-8 Yrs,Not disclosed,"java,linux,j2ee,software engineering,sql plsql,oracle,jsp,jdbc","Project Role : Application Developer    Project Role Description : Design, build and configure applications to meet business process and application requirements.   Must have skills : Java Enterprise Edition   Good to have skills : NA   Educational Qualification : Technical graduate with relevant experience Project Role :Application Developer  Project Role Description :Design, build and configure applications to meet business process and application requirements. Must have Skills :Java Enterprise EditionGood to Have Skills : Job Requirements :Key Responsibilities :Design, build, and configure applications to meet business process and application requirements.Collaborate with cross-functional teams to identify and prioritize application requirements.Develop and maintain technical documentation related to application development.Monitoring and maintaining application.Troubleshoot and debug application issues, providing timely resolution to minimize downtime and ensure optimal performance Technical Experience :Proficiency in Java SE1.8 and SQL PLSQL. UNIX Shell Scripting, Linux. Solid understanding of software engineering principles and best practices. Experience with application development tools such as Eclipse. Experience with web application frameworks such as Spring. Experience with database technologies such as Oracle, PostgreSQL. Professional Attributes :The candidate should have a minimum of 3 years of experience in Java SE.The ideal candidate will possess a strong educational background in computer science or a related field, along with a proven track record of delivering impactful software solutions Educational Qualification:Technical graduate with relevant experience Additional Information :   Qualification   Technical graduate with relevant experience",https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-101224915759
101224922068,Application Developer,Application Developer,Accenture,Bengaluru,3-5 Yrs,Not disclosed,"oracle bi apps,sql,database creation,microsoft windows,unix,essbase,oracle,rhel","Project Role : Application Developer    Project Role Description : Design, build and configure applications to meet business process and application requirements.   Must have skills : Oracle Hyperion Essbase   Good to have skills : Oracle Hyperion Analytic Applications, Oracle Hyperion Data Relationship Management (DRM) Minimum  3  year(s) of experience is required   Educational Qualification : BE  Summary :As an Application Developer for Custom Software Engineering, you will be responsible for designing, building, and configuring applications to meet business process and application requirements using Oracle Hyperion Essbase. Your typical day will involve collaborating with cross-functional teams, analyzing data, and developing solutions to meet business needs.  Roles & Responsibilities: Hands-on experience in End to End implementation on Oracle EPM suite products including Essbase, Planning, FDMEE, ODI , Financial reporting, DRM, Shared services, LCM, Essbase ASO  Strong Knowledge on Windows and Unix (RHEL) environments.  Good Knowledge on batch/shell scripting.  Expertise on writing Calculation scripts, Business rules, rule files, data forms,report scripts.  Expertise on database concepts and SQL.  Strong skills in debugging, looking at logs, isolate problem Professional & Technical Skills:  Must To Have Skills:Experience in Oracle Hyperion Essbase.  Good To Have Skills:Experience in Oracle Hyperion Analytic Applications and Oracle Hyperion Data Relationship Management (DRM).  Strong understanding of database concepts and SQL.  Experience in application development using Java or .NET.  Experience in developing and maintaining technical documentation.  Experience in providing technical support and troubleshooting for applications. Additional Information:  The candidate should have a minimum of 3 years of experience in Oracle Hyperion Essbase.  The ideal candidate will possess a strong educational background in computer science or a related field, along with a proven track record of delivering impactful solutions.  This position is based at our Bengaluru office. Qualification BE",https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-101224922068
150623501181,Web Developer,Web Developer,Prakhar Software,Delhi,7-10 Yrs,Not disclosed,"Linux,RDBMS,MySQL,PHP,HTML,Open source,Information technology,Ajax","Education    : Engineering Graduate (BE/B. Tech) in Computer Science or Information-Technology / Information System or Electronics & Communication or Post Graduation in Computer Application or Post Graduation in Computer Science (MSc in computer Science) with minimum 7 years of experience.        Job Description          Well versed and working knowledge in the system/RDBMS Data Base architecture (SQL/Oracle/ MYSQL/ PostgreSQL).      Working knowledge of any operating systems like Apple macOS/ Microsoft Windows/ Googles Android OS/ Linux Operating System/Apple iOS.      Working knowledge of PHP /DOTNET/ JAVA / CSS, Java Script/DHTML, HTML and AJAX development techniques or any other open-source software.      Basic computer knowledge in MS-Office/Open Office, Statistical tools for auto generation of reports etc.",https://www.naukri.com/job-listings-web-developer-prakhar-software-solutions-new-delhi-7-to-10-years-150623501181
151024501693,Web Developer,Web Developer,Animpet Ecomm,Gurgaon,3-8 Yrs,Not disclosed,"cif,css,amazon vpc,jquery,sql,git,apache,linux","Job Description       Location: Sector 28, Gurgaon         Experience: 3+ Years         Salary: Upto INR 70k/month             Eligibility Criteria             Experience in using and developing Magento Shopify will be a plus.         Handling Web servers like Linux and Apache.         React/React Native frameworks.         Training and leading a team of developers.             Desired Candidate Profile             A bachelor s degree in IT, computer science, or a similar field, or equivalent industry experience.         At least 3 years of experience working as a WordPress Developer.   Knowledge of development technologies including PHP, JavaScript, HTML, jQuery, SQL, and CSS.         Knowledge of Git and other code versioning tools.         Experience in testing and debugging tools.         Understanding of website architecture and aesthetics.         Strong verbal and written communication skills.         Ability to lead and work as part of a team.         Experience in configuring handling Linux Web hosting, CDN, AWS, REST APIs and MySQL servers.             Roles and Responsibilities             Candidate should have experience in frontend backend web development.         Planning and creating the website architecture.         Having plugin development experience based on functional requirements.         Have a proven experience in WooCommerce website, theme plugin development customizations.         Managing back-end tasks like database server integration optimization.         Testing and troubleshooting the website.         Analyzing optimizing website performance.         Have a clear understanding of SEO-optimized website architecture.         Maintaining website security and compliance code optimization.         Researching technical specifications of a project based on inputs provided.         Coordination with the creative marketing team.     Required skills        AWS             CDN             PHP             Mysql              CSS             Debugging              Javascript             Html              Jquery             Rest Api              Server Management             Sql",https://www.naukri.com/job-listings-web-developer-animpet-ecomm-pvt-ltd-gurugram-3-to-8-years-151024501693
